instance family sequential-induced-except-0-pf sequential-induced-except-0-pd sequential-d2-induced-except-0-pf sequential-d2-induced-except-0-pd sequential-induced-except-1-pf sequential-induced-except-1-pd sequential-d2-induced-except-1-pf sequential-d2-induced-except-1-pd sequential-induced-except-2-pf sequential-induced-except-2-pd sequential-d2-induced-except-2-pf sequential-d2-induced-except-2-pd sequential-induced-except-3-pf sequential-induced-except-3-pd sequential-d2-induced-except-3-pf sequential-d2-induced-except-3-pd sequential-induced-except-4-pf sequential-induced-except-4-pd sequential-d2-induced-except-4-pf sequential-d2-induced-except-4-pd sequential-induced-except-5-pf sequential-induced-except-5-pd sequential-d2-induced-except-5-pf sequential-d2-induced-except-5-pd sequential-induced-except-10-pf sequential-induced-except-10-pd sequential-d2-induced-except-10-pf sequential-d2-induced-except-10-pd sequential-induced-except-20-pf sequential-induced-except-20-pd sequential-d2-induced-except-20-pf sequential-d2-induced-except-20-pd
si6_b09m_m800.06 4 995462 25046 995055 59922 996448 23917 996468 33346 996575 23783 996480 26760 996651 24123 996651 24883 996648 24432 996648 24602 996540 24487 996540 24521 996628 25082 996628 25082 996665 25918 996665 25918
si6_b09m_m800.08 4 995485 24206 995188 54897 996418 23077 996466 30759 996455 23095 996573 25413 996570 23494 996570 24262 996584 23519 996584 23652 996568 24065 996568 24093 996544 24550 996544 24550 996665 25303 996665 25303
si4_m4Dr6_m1296.01 6 996682 12191 996697 32661 997032 12141 997032 16858 997240 12771 997240 12782 997266 12992 997266 12992 997262 13405 997262 13405 997188 13395 997188 13395 997319 13420 997319 13420 997319 13420 997319 13420
si4_m4Dr6_m1296.07 6 996814 12780 996646 34946 997181 12291 997181 17272 997243 12778 997243 12799 997231 13199 997231 13199 997241 13303 997241 13303 997279 13340 997279 13340 997319 13494 997319 13494 997319 13494 997319 13494
si4_m4Dr6_m1296.06 6 996552 12286 996406 33067 997115 12238 997115 17582 997295 12480 997295 12504 997338 12577 997338 12577 997238 13153 997238 13153 997237 13309 997237 13309 997319 13147 997319 13147 997319 13147 997319 13147
si4_m4Dr6_m1296.02 6 996524 12945 996342 34137 997148 12449 997148 18471 997230 12885 997230 12961 997315 13536 997315 13536 997311 13761 997311 13761 997247 13823 997247 13823 997319 13772 997319 13772 997319 13772 997319 13772
si4_m4Dr6_m1296.08 6 996753 11759 996633 32938 997101 11733 997101 16068 997249 12308 997249 12334 997221 12740 997221 12740 997341 12767 997341 12767 997248 12984 997248 12984 997319 12890 997319 12890 997319 12890 997319 12890
si4_m4Dr6_m1296.03 6 996413 13286 996402 35321 997024 12719 997024 18743 997222 13319 997222 13368 997199 13739 997199 13739 997224 14149 997224 14149 997272 14186 997272 14186 997319 14164 997319 14164 997319 14164 997319 14164
si4_m4Dr6_m1296.00 6 996877 12677 996684 34165 997209 12466 997209 17798 997312 12888 997312 12924 997239 13274 997239 13274 997290 13572 997290 13572 997258 13468 997258 13468 997319 13514 997319 13514 997319 13514 997319 13514
si4_m4Dr6_m1296.09 6 996695 12562 996680 33513 997118 11854 997118 16633 997232 12553 997232 12579 997283 12933 997283 12933 997245 13132 997245 13132 997333 13421 997333 13421 997319 13383 997319 13383 997319 13383 997319 13383
si4_m4Dr6_m1296.05 6 996485 13051 996459 34665 997088 12456 997088 18166 997156 12733 997156 12754 997190 13270 997190 13270 997275 13324 997275 13324 997278 13771 997278 13771 997319 13696 997319 13696 997319 13696 997319 13696
si4_m4Dr6_m1296.04 6 996436 13023 996461 35228 997171 12601 997171 18369 997235 13208 997235 13252 997257 13695 997257 13695 997255 13786 997255 13786 997206 13721 997206 13721 997319 13917 997319 13917 997319 13917 997319 13917
si2_b06_m400.09 3 984838 85700 984838 153992 984838 85700 984838 131407 984838 85700 984838 108565 984838 85700 984838 85700 984838 85700 984838 85700 984838 85700 984838 85700 984838 85700 984838 85700 984838 85700 984838 85700
si2_b06_m400.02 3 984838 85346 984838 153590 984838 85346 984838 131095 984838 85346 984838 108155 984838 85346 984838 85346 984838 85346 984838 85346 984838 85346 984838 85346 984838 85346 984838 85346 984838 85346 984838 85346
si2_b06_m400.00 3 984838 85288 984838 153674 984838 85288 984838 131184 984838 85288 984838 108217 984838 85288 984838 85288 984838 85288 984838 85288 984838 85288 984838 85288 984838 85288 984838 85288 984838 85288 984838 85288
si2_b06_m400.03 3 984838 85408 984838 153807 984838 85408 984838 131363 984838 85408 984838 108428 984838 85408 984838 85408 984838 85408 984838 85408 984838 85408 984838 85408 984838 85408 984838 85408 984838 85408 984838 85408
si2_b06_m400.07 3 984838 85423 984838 153723 984838 85423 984838 131261 984838 85423 984838 108352 984838 85423 984838 85423 984838 85423 984838 85423 984838 85423 984838 85423 984838 85423 984838 85423 984838 85423 984838 85423
si2_b06_m400.04 3 984838 85596 984838 153818 984838 85596 984838 131312 984838 85596 984838 108347 984838 85596 984838 85596 984838 85596 984838 85596 984838 85596 984838 85596 984838 85596 984838 85596 984838 85596 984838 85596
si2_b06_m400.05 3 984838 85410 984838 153790 984838 85410 984838 131083 984838 85410 984838 108394 984838 85410 984838 85410 984838 85410 984838 85410 984838 85410 984838 85410 984838 85410 984838 85410 984838 85410 984838 85410
si2_b06_m400.01 3 984838 85259 984838 153526 984838 85259 984838 131123 984838 85259 984838 108351 984838 85259 984838 85259 984838 85259 984838 85259 984838 85259 984838 85259 984838 85259 984838 85259 984838 85259 984838 85259
si2_b06_m400.08 3 984838 85277 984838 153714 984838 85277 984838 131232 984838 85277 984838 108299 984838 85277 984838 85277 984838 85277 984838 85277 984838 85277 984838 85277 984838 85277 984838 85277 984838 85277 984838 85277
si2_b06_m400.06 3 984838 85416 984838 153929 984838 85416 984838 131267 984838 85416 984838 108411 984838 85416 984838 85416 984838 85416 984838 85416 984838 85416 984838 85416 984838 85416 984838 85416 984838 85416 984838 85416
si4_r01_m200.01 7 982771 304851 982771 315740 982562 304394 982562 311128 982562 304394 982562 308002 982562 304394 982562 305981 982562 304394 982562 305010 982562 304394 982562 304636 982562 304394 982562 304394 982562 304394 982562 304394
si4_r01_m200.08 7 982527 297025 982527 306475 982736 296440 982736 302058 982562 296169 982562 298886 982562 296169 982562 297268 982562 296169 982562 296532 982562 296169 982562 296261 982562 296169 982562 296169 982562 296169 982562 296169
si4_r01_m200.03 7 982718 299137 982718 307978 982562 298251 982562 303524 982562 298251 982562 300951 982562 298251 982562 299308 982562 298251 982562 298588 982562 298251 982562 298348 982562 298251 982562 298251 982562 298251 982562 298251
si4_r01_m200.04 7 982526 300810 982526 309660 982766 301008 982766 306423 982766 301008 982766 303779 982766 301008 982766 302234 982562 300968 982562 301489 982562 300968 982562 301143 982562 300968 982562 300968 982562 300968 982562 300968
si4_r01_m200.07 7 982562 303257 982562 313813 982562 303257 982562 309797 982562 303257 982562 306678 982562 303257 982562 304858 982562 303257 982562 303884 982562 303257 982562 303466 982562 303257 982562 303257 982562 303257 982562 303257
si4_r01_m200.02 7 982562 298039 982562 307208 982562 298039 982562 303389 982562 298039 982562 300580 982562 298039 982562 299051 982562 298039 982562 298370 982562 298039 982562 298145 982562 298039 982562 298039 982562 298039 982562 298039
si4_r01_m200.05 7 982562 308499 982562 318676 982562 308499 982562 315064 982562 308499 982562 312100 982562 308499 982562 310160 982562 308499 982562 309201 982562 308499 982562 308751 982562 308499 982562 308502 982562 308499 982562 308499
si4_r01_m200.06 7 982642 305086 982642 317088 982663 306352 982663 314026 982569 305221 982569 309324 982569 305221 982569 307104 982562 305764 982562 306488 982562 305764 982562 305995 982562 305764 982562 305764 982562 305764 982562 305764
si4_r01_m200.00 7 982562 301598 982562 310541 982562 301598 982562 307153 982562 301598 982562 304438 982562 301598 982562 302835 982562 301598 982562 302029 982562 301598 982562 301754 982562 301598 982562 301600 982562 301598 982562 301598
si4_r01_m200.09 7 982562 304590 982562 313966 982562 304590 982562 310538 982562 304590 982562 307859 982562 304590 982562 306181 982562 304590 982562 305187 982562 304590 982562 304827 982562 304590 982562 304590 982562 304590 982562 304590
si2_r001_m400.06 7 984924 53589 984741 117796 985073 53886 985073 57512 985105 53970 985105 54226 984894 54356 984894 54356 984838 54257 984838 54257 984838 54257 984838 54257 984838 54257 984838 54257 984838 54257 984838 54257
si2_r001_m400.08 7 984926 55873 984964 134791 985149 56872 985149 59681 985189 57165 985189 57165 985278 57252 985278 57252 984935 57175 984935 57175 984838 57084 984838 57084 984838 57084 984838 57084 984838 57084 984838 57084
si2_r001_m400.09 7 984837 52000 985083 123487 985162 52452 985162 54455 984939 53309 984939 53309 984854 53978 984854 53978 985099 53104 985099 53104 984838 53818 984838 53818 984838 53818 984838 53818 984838 53818 984838 53818
si2_r001_m400.01 7 985066 53126 984852 131383 984939 54184 984939 57447 984895 55022 984895 55022 985146 55504 985146 55504 985299 55923 985299 55923 984774 55460 984774 55460 984838 55512 984838 55512 984838 55512 984838 55512
si2_r001_m400.03 7 984969 54723 984752 134097 985319 55039 985319 58827 985099 55591 985099 55591 984954 56564 984954 56564 985164 56240 985164 56240 985152 56001 985152 56001 984838 56128 984838 56128 984838 56128 984838 56128
si2_r001_m400.04 7 984912 52490 985007 112475 984967 53350 984967 54491 984965 53395 984965 53400 984809 53860 984809 53860 984867 53808 984867 53808 984838 53236 984838 53236 984838 53236 984838 53236 984838 53236 984838 53236
si2_r001_m400.05 7 985020 52525 984888 119653 985217 52850 985217 55188 985016 53308 985016 53308 985207 53112 985207 53112 984942 53072 984942 53072 985212 53680 985212 53680 984838 53467 984838 53467 984838 53467 984838 53467
si2_r001_m400.02 7 984858 49470 984401 108975 984919 50030 984919 52402 984948 50561 984948 50614 985043 50800 985043 50800 985048 51143 985048 51143 985055 51612 985055 51612 984956 52538 984956 52538 984838 53149 984838 53149
si2_r001_m400.00 7 984833 54414 985077 137831 984826 55258 984826 60554 985252 56252 985252 56252 984934 56819 984934 56819 985147 57833 985147 57833 984988 57632 984988 57632 984838 57628 984838 57628 984838 57628 984838 57628
si2_r001_m400.07 7 984827 50823 984902 122028 984996 51723 984996 52359 985020 52483 985020 52483 985232 53582 985232 53582 985120 53642 985120 53642 985211 54120 985211 54120 984838 54109 984838 54109 984838 54109 984838 54109
si4_b03m_m800.03 4 993117 10275 992647 17412 995306 9021 995306 9896 995512 8998 995512 8998 995481 9041 995481 9041 995492 9043 995492 9043 995475 9355 995475 9355 995689 10168 995689 10168 995568 11365 995568 11365
si4_b03m_m800.05 4 993092 10438 992855 16092 995383 9380 995383 10372 995447 9365 995447 9365 995432 9340 995432 9340 995514 9231 995514 9231 995375 9429 995375 9429 995663 10485 995663 10485 995515 11501 995515 11501
si4_b03m_m800.06 4 992801 11375 992281 18371 995268 8579 995294 9685 995444 8879 995444 8879 995479 9316 995479 9316 995449 9303 995449 9303 995509 9558 995509 9558 995583 10229 995583 10229 995665 11418 995665 11418
si4_b03m_m800.01 4 992654 11266 992524 18423 995288 8885 995288 9781 995429 8750 995429 8750 995415 9121 995415 9121 995436 9145 995436 9145 995433 9444 995433 9444 995664 10359 995664 10359 995665 11677 995665 11677
si4_b03m_m800.08 4 992967 11353 992610 18272 995264 8745 995264 9642 995451 8640 995451 8640 995464 8943 995464 8943 995531 8848 995531 8848 995380 9153 995380 9153 995392 10024 995392 10024 995569 11457 995569 11457
si4_b03m_m800.09 4 993088 11393 992796 18017 995242 8993 995242 9946 995500 9200 995500 9200 995593 9361 995593 9361 995539 9486 995539 9486 995472 9391 995472 9391 995508 10219 995508 10219 995665 11438 995665 11438
si4_b03m_m800.00 4 993451 10236 993278 16435 995216 9384 995216 10335 995519 9204 995519 9204 995378 9327 995378 9327 995421 9510 995421 9510 995550 9918 995550 9918 995480 11123 995480 11123 995665 11468 995665 11468
si4_b03m_m800.02 4 993633 11215 993396 18337 995405 9569 995405 10429 995663 9606 995663 9606 995549 10051 995549 10051 995491 10112 995491 10112 995559 9971 995559 9971 995632 11001 995632 11001 995611 11595 995611 11595
si4_b03m_m800.07 4 992994 10455 992752 17170 995323 9464 995323 10266 995485 9343 995485 9343 995469 9712 995469 9712 995454 9611 995454 9611 995465 10039 995465 10039 995615 10619 995615 10619 995665 11951 995665 11951
si4_b03m_m800.04 4 993066 10453 992745 16452 995313 8678 995313 9285 995605 8891 995605 8891 995427 8930 995427 8930 995486 8997 995486 8997 995523 9061 995523 9061 995521 9837 995521 9837 995665 11404 995665 11404
si2_r01_m200.03 7 970346 292398 970346 295939 970346 292398 970346 293718 970346 292398 970346 292749 970346 292398 970346 292477 970346 292398 970346 292406 970346 292398 970346 292400 970346 292398 970346 292398 970346 292398 970346 292398
si2_r01_m200.00 7 970346 291814 970346 294449 970346 291814 970346 292723 970346 291814 970346 292031 970346 291814 970346 291847 970346 291814 970346 291815 970346 291814 970346 291814 970346 291814 970346 291814 970346 291814 970346 291814
si2_r01_m200.05 7 970346 307352 970346 311028 970346 307352 970346 308960 970346 307352 970346 307979 970346 307352 970346 307505 970346 307352 970346 307372 970346 307352 970346 307352 970346 307352 970346 307352 970346 307352 970346 307352
si2_r01_m200.01 7 970346 307491 970346 312417 970346 307491 970346 309548 970346 307491 970346 308113 970346 307491 970346 307710 970346 307491 970346 307555 970346 307491 970346 307499 970346 307491 970346 307491 970346 307491 970346 307491
si2_r01_m200.08 7 970346 305445 970346 309505 970346 305445 970346 306989 970346 305445 970346 305945 970346 305445 970346 305600 970346 305445 970346 305469 970346 305445 970346 305447 970346 305445 970346 305445 970346 305445 970346 305445
si2_r01_m200.06 7 970346 302861 970346 307142 970346 302861 970346 304358 970346 302861 970346 303325 970346 302861 970346 302975 970346 302861 970346 302876 970346 302861 970346 302864 970346 302861 970346 302861 970346 302861 970346 302861
si2_r01_m200.09 7 970346 309401 970346 314507 970346 309401 970346 311346 970346 309401 970346 309866 970346 309401 970346 309481 970346 309401 970346 309407 970346 309401 970346 309401 970346 309401 970346 309401 970346 309401 970346 309401
si2_r01_m200.02 7 970346 302726 970346 305852 970346 302726 970346 303926 970346 302726 970346 303055 970346 302726 970346 302793 970346 302726 970346 302750 970346 302726 970346 302729 970346 302726 970346 302726 970346 302726 970346 302726
si2_r01_m200.07 7 970346 305492 970346 310010 970346 305492 970346 307309 970346 305492 970346 306176 970346 305492 970346 305666 970346 305492 970346 305526 970346 305492 970346 305495 970346 305492 970346 305492 970346 305492 970346 305492
si2_r01_m200.04 7 970346 295255 970346 298404 970346 295255 970346 296331 970346 295255 970346 295545 970346 295255 970346 295307 970346 295255 970346 295258 970346 295255 970346 295255 970346 295255 970346 295255 970346 295255 970346 295255
si2_r01_m400.04 7 984838 304140 984838 304165 984838 304140 984838 304158 984838 304140 984838 304148 984838 304140 984838 304143 984838 304140 984838 304141 984838 304140 984838 304141 984838 304140 984838 304140 984838 304140 984838 304140
si2_r01_m400.00 7 984838 304176 984838 304200 984838 304176 984838 304191 984838 304176 984838 304185 984838 304176 984838 304181 984838 304176 984838 304178 984838 304176 984838 304176 984838 304176 984838 304176 984838 304176 984838 304176
si2_r01_m400.07 7 984838 298583 984838 298611 984838 298583 984838 298603 984838 298583 984838 298594 984838 298583 984838 298587 984838 298583 984838 298583 984838 298583 984838 298583 984838 298583 984838 298583 984838 298583 984838 298583
si2_r01_m400.09 7 984838 303979 984838 303988 984838 303979 984838 303985 984838 303979 984838 303985 984838 303979 984838 303983 984838 303979 984838 303981 984838 303979 984838 303979 984838 303979 984838 303979 984838 303979 984838 303979
si2_r01_m400.01 7 984838 304036 984838 304070 984838 304036 984838 304056 984838 304036 984838 304041 984838 304036 984838 304039 984838 304036 984838 304037 984838 304036 984838 304037 984838 304036 984838 304036 984838 304036 984838 304036
si2_r01_m400.03 7 984838 309088 984838 309117 984838 309088 984838 309108 984838 309088 984838 309098 984838 309088 984838 309093 984838 309088 984838 309090 984838 309088 984838 309089 984838 309088 984838 309088 984838 309088 984838 309088
si2_r01_m400.02 7 984838 298428 984838 298436 984838 298428 984838 298432 984838 298428 984838 298428 984838 298428 984838 298428 984838 298428 984838 298428 984838 298428 984838 298428 984838 298428 984838 298428 984838 298428 984838 298428
si2_r01_m400.05 7 984838 301292 984838 301302 984838 301292 984838 301297 984838 301292 984838 301295 984838 301292 984838 301293 984838 301292 984838 301292 984838 301292 984838 301292 984838 301292 984838 301292 984838 301292 984838 301292
si2_r01_m400.06 7 984838 296249 984838 296263 984838 296249 984838 296257 984838 296249 984838 296251 984838 296249 984838 296251 984838 296249 984838 296249 984838 296249 984838 296249 984838 296249 984838 296249 984838 296249 984838 296249
si2_r01_m400.08 7 984838 305178 984838 305185 984838 305178 984838 305183 984838 305178 984838 305179 984838 305178 984838 305178 984838 305178 984838 305178 984838 305178 984838 305178 984838 305178 984838 305178 984838 305178 984838 305178
si4_m4D_m625.09 5 991307 38969 991127 85472 993710 29883 993595 58276 994229 28864 994229 28864 994469 29284 994469 29284 994399 29285 994399 29285 994291 29288 994291 29288 994291 29288 994291 29288 994291 29288 994291 29288
si4_m4D_m625.03 5 991450 37338 991501 81591 993840 29869 993721 58530 994147 29463 994147 29463 994390 29384 994390 29384 994402 29399 994402 29399 994291 29377 994291 29377 994291 29377 994291 29377 994291 29377 994291 29377
si4_m4D_m625.07 5 993996 20707 993935 43021 994511 21148 994511 35391 994430 21808 994430 21808 994423 21845 994423 21845 994291 21898 994291 21898 994291 21898 994291 21898 994291 21898 994291 21898 994291 21898 994291 21898
si4_m4D_m625.02 5 994002 18294 994002 35391 994337 19656 994337 32890 994379 20031 994379 20031 994291 19838 994291 19838 994291 19838 994291 19838 994291 19838 994291 19838 994291 19838 994291 19838 994291 19838 994291 19838
si4_m4D_m625.00 5 991233 40054 991076 89182 993640 30687 993565 60438 994257 29795 994257 29795 994369 29596 994369 29596 994428 29949 994428 29949 994291 30024 994291 30024 994291 30024 994291 30024 994291 30024 994291 30024
si4_m4D_m625.01 5 993922 20453 993857 42213 994342 21298 994342 35964 994268 21657 994268 21657 994360 21889 994360 21889 994291 21999 994291 21999 994291 21999 994291 21999 994291 21999 994291 21999 994291 21999 994291 21999
si4_m4D_m625.04 5 990686 40983 990726 88262 993616 29862 993592 56338 994229 28516 994229 28516 994216 29485 994216 29485 994439 29661 994439 29661 994291 29235 994291 29235 994291 29235 994291 29235 994291 29235 994291 29235
si4_m4D_m625.06 5 991167 40970 991236 90676 993724 30776 993565 60293 994361 29328 994361 29328 994477 29511 994477 29511 994391 29629 994391 29629 994291 29758 994291 29758 994291 29758 994291 29758 994291 29758 994291 29758
si4_m4D_m625.08 5 993871 20841 993923 42517 994277 20862 994277 34864 994379 21368 994379 21368 994204 21463 994204 21463 994398 21364 994398 21364 994291 21822 994291 21822 994291 21822 994291 21822 994291 21822 994291 21822
si4_m4D_m625.05 5 991163 39693 990951 86852 993681 30584 993635 59850 994318 29247 994318 29247 994294 29569 994294 29569 994370 29923 994370 29923 994291 29603 994291 29603 994291 29603 994291 29603 994291 29603 994291 29603
si6_m4Dr6_m256.05 6 987490 50867 987082 110454 989279 49082 989279 67458 989368 50686 989368 51335 989473 51077 989473 51142 989608 51666 989608 51666 989537 51816 989537 51816 989448 52417 989448 52417 989448 52417 989448 52417
si6_m4Dr6_m256.04 6 986967 57344 986450 126859 989055 53295 989055 76053 989382 54925 989382 55433 989401 54918 989401 54918 989622 55540 989622 55540 989602 55799 989602 55799 989448 56114 989448 56114 989448 56114 989448 56114
si6_m4Dr6_m256.03 6 986248 58504 984914 125829 988907 51765 988907 72978 989360 53710 989360 54491 989416 55256 989416 55256 989580 55816 989580 55816 989487 55753 989487 55753 989448 56242 989448 56242 989448 56242 989448 56242
si6_m4Dr6_m256.02 6 986376 56599 985412 115682 988720 52998 988720 78045 989288 54341 989288 56309 989549 55885 989549 55996 989674 56215 989674 56215 989545 56538 989545 56538 989448 56543 989448 56543 989448 56543 989448 56543
si6_m4Dr6_m256.08 6 986305 52112 985630 112306 989004 50610 989004 68714 989457 51276 989457 52627 989473 52758 989473 52784 989628 53775 989628 53775 989643 54209 989643 54209 989448 54207 989448 54207 989448 54207 989448 54207
si6_m4Dr6_m256.00 6 987458 54087 986981 120170 989139 51253 989139 71100 989418 51687 989418 52423 989494 52981 989494 52981 989559 53343 989559 53343 989507 54135 989507 54135 989448 54155 989448 54155 989448 54155 989448 54155
si6_m4Dr6_m256.09 6 986580 54680 985991 116503 989171 52832 989171 76799 989352 54261 989352 55586 989437 55037 989437 55135 989630 55105 989630 55105 989492 56266 989492 56266 989448 56266 989448 56266 989448 56266 989448 56266
si6_m4Dr6_m256.07 6 986179 58477 985193 125200 988919 53086 988919 75751 989370 53826 989370 55087 989592 55483 989592 55483 989836 56132 989836 56132 989585 56810 989585 56810 989448 56858 989448 56858 989448 56858 989448 56858
si6_m4Dr6_m256.06 6 985985 55822 984998 123534 988852 52361 988852 75378 989345 53908 989345 54925 989339 55123 989339 55123 989589 55949 989589 55949 989543 56196 989543 56196 989448 56345 989448 56345 989448 56345 989448 56345
si6_m4Dr6_m256.01 6 985217 55217 984528 116820 988715 51365 988715 73552 989315 52551 989315 53221 989486 53621 989486 53621 989512 54760 989512 54760 989562 55260 989562 55260 989448 56055 989448 56055 989448 56055 989448 56055
si6_b09_m400.07 3 993159 57223 993159 117867 993159 57223 993159 109624 993159 57223 993159 72472 993159 57223 993159 64930 993159 57223 993159 57267 993159 57223 993159 57248 993159 57223 993159 57223 993159 57223 993159 57223
si6_b09_m400.03 3 993159 57322 993159 117474 993159 57322 993159 109126 993159 57322 993159 72418 993159 57322 993159 64958 993159 57322 993159 57359 993159 57322 993159 57343 993159 57322 993159 57322 993159 57322 993159 57322
si6_b09_m400.04 3 993159 57079 993159 117742 993159 57079 993159 109565 993159 57079 993159 72250 993159 57079 993159 64570 993159 57079 993159 57116 993159 57079 993159 57092 993159 57079 993159 57079 993159 57079 993159 57079
si6_b09_m400.06 3 993159 56977 993159 117543 993159 56977 993159 109313 993159 56977 993159 72029 993159 56977 993159 64563 993159 56977 993159 57012 993159 56977 993159 57000 993159 56977 993159 56977 993159 56977 993159 56977
si6_b09_m400.05 3 993159 57026 993159 118255 993159 57026 993159 110269 993159 57026 993159 72270 993159 57026 993159 64752 993159 57026 993159 57067 993159 57026 993159 57046 993159 57026 993159 57026 993159 57026 993159 57026
si6_b09_m400.09 3 993159 56955 993159 117365 993159 56955 993159 109220 993159 56955 993159 72115 993159 56955 993159 64574 993159 56955 993159 56984 993159 56955 993159 56969 993159 56955 993159 56955 993159 56955 993159 56955
si6_b09_m400.02 3 993159 57380 993159 117878 993159 57380 993159 109716 993159 57380 993159 72370 993159 57380 993159 64966 993159 57380 993159 57412 993159 57380 993159 57395 993159 57380 993159 57380 993159 57380 993159 57380
si6_b09_m400.01 3 993159 57202 993159 117736 993159 57202 993159 109627 993159 57202 993159 72285 993159 57202 993159 64780 993159 57202 993159 57245 993159 57202 993159 57223 993159 57202 993159 57202 993159 57202 993159 57202
si6_b09_m400.08 3 993159 56852 993159 117291 993159 56852 993159 109034 993159 56852 993159 71966 993159 56852 993159 64533 993159 56852 993159 56895 993159 56852 993159 56871 993159 56852 993159 56852 993159 56852 993159 56852
si6_b09_m400.00 3 993159 57355 993159 117939 993159 57355 993159 109795 993159 57355 993159 72373 993159 57355 993159 64914 993159 57355 993159 57409 993159 57355 993159 57384 993159 57355 993159 57355 993159 57355 993159 57355
si6_b06_m400.03 3 993159 38863 993159 62803 993159 38863 993159 54850 993159 38863 993159 46808 993159 38863 993159 38863 993159 38863 993159 38863 993159 38863 993159 38863 993159 38863 993159 38863 993159 38863 993159 38863
si6_b06_m400.08 3 993159 38862 993159 62886 993159 38862 993159 54935 993159 38862 993159 46768 993159 38862 993159 38862 993159 38862 993159 38862 993159 38862 993159 38862 993159 38862 993159 38862 993159 38862 993159 38862
si6_b06_m400.07 3 993159 38867 993159 62885 993159 38867 993159 54902 993159 38867 993159 46855 993159 38867 993159 38867 993159 38867 993159 38867 993159 38867 993159 38867 993159 38867 993159 38867 993159 38867 993159 38867
si6_b06_m400.04 3 993159 38892 993159 62898 993159 38892 993159 54926 993159 38892 993159 46840 993159 38892 993159 38892 993159 38892 993159 38892 993159 38892 993159 38892 993159 38892 993159 38892 993159 38892 993159 38892
si6_b06_m400.05 3 993159 38868 993159 62783 993159 38868 993159 54859 993159 38868 993159 46754 993159 38868 993159 38868 993159 38868 993159 38868 993159 38868 993159 38868 993159 38868 993159 38868 993159 38868 993159 38868
si6_b06_m400.06 3 993159 38926 993159 62924 993159 38926 993159 54957 993159 38926 993159 46871 993159 38926 993159 38926 993159 38926 993159 38926 993159 38926 993159 38926 993159 38926 993159 38926 993159 38926 993159 38926
si6_b06_m400.02 3 993159 38936 993159 62860 993159 38936 993159 54917 993159 38936 993159 46844 993159 38936 993159 38936 993159 38936 993159 38936 993159 38936 993159 38936 993159 38936 993159 38936 993159 38936 993159 38936
si6_b06_m400.01 3 993159 39054 993159 62958 993159 39054 993159 54962 993159 39054 993159 46985 993159 39054 993159 39054 993159 39054 993159 39054 993159 39054 993159 39054 993159 39054 993159 39054 993159 39054 993159 39054
si6_b06_m400.00 3 993159 39028 993159 62995 993159 39028 993159 55035 993159 39028 993159 46926 993159 39028 993159 39028 993159 39028 993159 39028 993159 39028 993159 39028 993159 39028 993159 39028 993159 39028 993159 39028
si6_b06_m400.09 3 993159 38883 993159 62987 993159 38883 993159 55025 993159 38883 993159 46877 993159 38883 993159 38883 993159 38883 993159 38883 993159 38883 993159 38883 993159 38883 993159 38883 993159 38883 993159 38883
si6_b03m_m200.04 4 980940 34229 979886 51342 986092 32623 986092 35473 986566 32432 986566 32432 986539 32622 986539 32622 986568 33147 986568 33147 986549 34049 986549 34049 986614 34685 986614 34685 986627 36339 986627 36339
si6_b03m_m200.07 4 980159 37451 979340 56856 986019 31015 986019 33886 986341 32689 986341 32689 986413 32940 986413 32940 986697 33781 986697 33781 986586 35456 986586 35456 986627 36327 986627 36327 986627 36327 986627 36327
si6_b03m_m200.08 4 980475 33993 979907 55737 985540 30366 985540 31571 986386 30992 986386 30992 986365 31612 986365 31612 986543 33125 986543 33125 986542 34759 986542 34759 986627 36298 986627 36298 986627 36298 986627 36298
si6_b03m_m200.02 4 979864 39261 978075 58236 985583 31057 985583 34306 986157 31395 986157 31395 986422 31791 986422 31791 986572 32871 986572 32871 986753 33326 986753 33326 986627 36389 986627 36389 986627 36389 986627 36389
si6_b03m_m200.03 4 980969 36756 980327 54038 986147 30787 986147 33566 986376 31389 986376 31389 986331 31285 986331 31285 986463 31874 986463 31874 986561 32678 986561 32678 986493 34209 986493 34209 986627 35870 986627 35870
si6_b03m_m200.06 4 981178 33160 980331 48130 986071 31349 986071 33999 986196 32119 986196 32120 986265 32287 986265 32287 986561 33166 986561 33166 986423 34191 986423 34191 986810 36285 986810 36285 986627 36327 986627 36327
si6_b03m_m200.01 4 980876 33640 979734 49724 985767 31278 985767 34300 986150 31151 986150 31151 986167 31264 986167 31264 986600 33862 986600 33862 986444 34303 986444 34303 986627 35745 986627 35745 986627 35745 986627 35745
si6_b03m_m200.09 4 981035 34320 979346 49018 986223 30591 986223 33711 986215 30602 986215 30602 986349 31089 986349 31089 986537 31865 986537 31865 986455 32505 986455 32505 986911 35988 986911 35988 986627 36006 986627 36006
si6_b03m_m200.00 4 981955 34295 980959 49093 985984 31173 985984 33204 986290 30688 986290 30688 986520 32038 986520 32038 986423 32977 986423 32977 986550 32866 986550 32866 986627 35827 986627 35827 986627 35827 986627 35827
si6_b03m_m200.05 4 980848 38916 979239 58741 986025 34172 986025 37727 986332 34031 986332 34163 986485 34934 986485 34934 986642 36477 986642 36477 986681 36789 986681 36789 986627 37669 986627 37669 986627 37669 986627 37669
si4_b06_m800.04 3 995665 25820 995665 44014 995665 25820 995665 37816 995665 25820 995665 31809 995665 25820 995665 25820 995665 25820 995665 25820 995665 25820 995665 25820 995665 25820 995665 25820 995665 25820 995665 25820
